,loss_mean,loss_std,val_loss_mean,val_loss_std,accuracy_mean,accuracy_std,val_accuracy_mean,val_accuracy_std
0,1.886826467514038,0.010060810199101785,1.7773085832595825,0.013742380697769601,0.3226599931716919,0.003124528141773649,0.40522000193595886,0.00919225899491477
1,1.5660314321517945,0.011238889497411005,1.5957440853118896,0.06877958938932965,0.43479599952697756,0.004889193546809077,0.42884000539779665,0.020960872315618197
2,1.4574384212493896,0.012194763678716906,1.5021612644195557,0.09661158141589621,0.4752000033855438,0.0060202533143553635,0.45715999603271484,0.02916138110107182
3,1.3904577493667603,0.01360283896981469,1.3567659854888916,0.07929527341722604,0.5019560039043427,0.00593255102026713,0.5156000018119812,0.023543488024217712
4,1.336839747428894,0.01683748952773654,1.2784662961959838,0.03817763458155233,0.5226159930229187,0.0072640434737381845,0.5424800038337707,0.014079982308533086
5,1.2903149604797364,0.021100344454467027,1.2549389839172362,0.03204515428349979,0.5417079925537109,0.008343648015613067,0.5532000064849854,0.01557215845471468
6,1.248547863960266,0.023249563844088453,1.3299463987350464,0.10736500497654979,0.5580759882926941,0.009576418803671386,0.5371999979019165,0.027603115158709883
7,1.2121520042419434,0.024522904912317987,1.2946253776550294,0.09533380264069655,0.572603988647461,0.00879912089653452,0.5486800074577332,0.02882737601219825
8,1.1785157203674317,0.02288170788130945,1.2605666160583495,0.08029889950153432,0.58471599817276,0.009669381929473489,0.560260009765625,0.027343052861121864
9,1.1493619203567504,0.021062212067701796,1.1823252201080323,0.07154605302161103,0.5965719938278198,0.008327196875340066,0.5887600064277649,0.017808489559588768
10,1.1211487770080566,0.01925071388101046,1.1327215671539306,0.051715914202808196,0.6066359877586365,0.0072392352086353634,0.6017000079154968,0.017120176955974523
11,1.0993740797042846,0.015704131552671592,1.160123085975647,0.08990239800821188,0.6144439935684204,0.0064254032300711805,0.5962999939918519,0.027950309552441373
